Model: {'serial': 'model_20231126162556', 'input_memory': 72, 'head_size': 4, 'num_heads': 2, 'ff_dim': 5, 'mlp_units': 8, 'ST_RMSE': 0.8905685295070628, 'RMSE': 1.314565960161394, 'MAE': 3.249435193656964}
Model: {'serial': 'model_20231126162646', 'input_memory': 72, 'head_size': 4, 'num_heads': 2, 'ff_dim': 2, 'mlp_units': 32, 'ST_RMSE': 0.8972859191737217, 'RMSE': 1.4136390610004348, 'MAE': 4.709678568467238}
Model: {'serial': 'model_20231126162730', 'input_memory': 72, 'head_size': 4, 'num_heads': 2, 'ff_dim': 2, 'mlp_units': 16, 'ST_RMSE': 1.067679905677303, 'RMSE': 1.6844161945434175, 'MAE': 4.786937762376665}
Model: {'serial': 'model_20231126162846', 'input_memory': 72, 'head_size': 4, 'num_heads': 2, 'ff_dim': 2, 'mlp_units': 8, 'ST_RMSE': 0.7187885037111976, 'RMSE': 1.327887682932284, 'MAE': 3.319925165911955}
Model: {'serial': 'model_20231126162943', 'input_memory': 72, 'head_size': 2, 'num_heads': 8, 'ff_dim': 10, 'mlp_units': 32, 'ST_RMSE': 1.2091523600979617, 'RMSE': 1.4737933875797657, 'MAE': 3.7170895671327533}
Model: {'serial': 'model_20231126163110', 'input_memory': 72, 'head_size': 2, 'num_heads': 8, 'ff_dim': 10, 'mlp_units': 16, 'ST_RMSE': 0.6758221920731615, 'RMSE': 1.4503979800306335, 'MAE': 3.263161709604696}
Model: {'serial': 'model_20231126163231', 'input_memory': 72, 'head_size': 2, 'num_heads': 8, 'ff_dim': 10, 'mlp_units': 8, 'ST_RMSE': 1.009842395099444, 'RMSE': 1.0204501114654791, 'MAE': 2.4485538217980265}
Model: {'serial': 'model_20231126163406', 'input_memory': 72, 'head_size': 2, 'num_heads': 8, 'ff_dim': 5, 'mlp_units': 32, 'ST_RMSE': 0.9897308351101954, 'RMSE': 1.471143238128393, 'MAE': 4.236904301270583}
Model: {'serial': 'model_20231126163527', 'input_memory': 72, 'head_size': 2, 'num_heads': 8, 'ff_dim': 5, 'mlp_units': 16, 'ST_RMSE': 0.7342401707488949, 'RMSE': 1.0674908521091553, 'MAE': 2.651140843751777}
Model: {'serial': 'model_20231126163633', 'input_memory': 72, 'head_size': 2, 'num_heads': 8, 'ff_dim': 5, 'mlp_units': 8, 'ST_RMSE': 1.0170009619899096, 'RMSE': 1.50077804622698, 'MAE': 3.836126833814925}
Model: {'serial': 'model_20231126163734', 'input_memory': 72, 'head_size': 2, 'num_heads': 8, 'ff_dim': 2, 'mlp_units': 32, 'ST_RMSE': 1.1102865339019166, 'RMSE': 1.7100041657098835, 'MAE': 5.483592998311888}
Model: {'serial': 'model_20231126163851', 'input_memory': 72, 'head_size': 2, 'num_heads': 8, 'ff_dim': 2, 'mlp_units': 16, 'ST_RMSE': 0.6742052181107417, 'RMSE': 1.5240198098424536, 'MAE': 4.98628780215489}
Model: {'serial': 'model_20231126164005', 'input_memory': 72, 'head_size': 2, 'num_heads': 8, 'ff_dim': 2, 'mlp_units': 8, 'ST_RMSE': 1.1607859796513935, 'RMSE': 1.4341187944494809, 'MAE': 3.6103512279292724}
Model: {'serial': 'model_20231126164130', 'input_memory': 72, 'head_size': 2, 'num_heads': 4, 'ff_dim': 10, 'mlp_units': 32, 'ST_RMSE': 1.4929367647289078, 'RMSE': 1.6963867429530024, 'MAE': 4.569556143205972}
Model: {'serial': 'model_20231126164236', 'input_memory': 72, 'head_size': 2, 'num_heads': 4, 'ff_dim': 10, 'mlp_units': 16, 'ST_RMSE': 1.1831881236151107, 'RMSE': 1.2710254541533832, 'MAE': 3.108063232229125}
Model: {'serial': 'model_20231126164340', 'input_memory': 72, 'head_size': 2, 'num_heads': 4, 'ff_dim': 10, 'mlp_units': 8, 'ST_RMSE': 0.8118703864916189, 'RMSE': 1.1136120105621607, 'MAE': 2.8203951413840787}
Model: {'serial': 'model_20231126164441', 'input_memory': 72, 'head_size': 2, 'num_heads': 4, 'ff_dim': 5, 'mlp_units': 32, 'ST_RMSE': 1.4391354652635373, 'RMSE': 1.633053362247629, 'MAE': 5.45383211340758}
Model: {'serial': 'model_20231126164553', 'input_memory': 72, 'head_size': 2, 'num_heads': 4, 'ff_dim': 5, 'mlp_units': 16, 'ST_RMSE': 1.1251338456589037, 'RMSE': 1.4786517770956333, 'MAE': 3.4816416829986667}
Model: {'serial': 'model_20231126164645', 'input_memory': 72, 'head_size': 2, 'num_heads': 4, 'ff_dim': 5, 'mlp_units': 8, 'ST_RMSE': 1.0000100759746813, 'RMSE': 0.9950758085581474, 'MAE': 2.5764490418048966}
Model: {'serial': 'model_20231126164743', 'input_memory': 72, 'head_size': 2, 'num_heads': 4, 'ff_dim': 2, 'mlp_units': 32, 'ST_RMSE': 0.4856479570838477, 'RMSE': 1.6865989946375777, 'MAE': 4.5385204832874955}
